UniProtKB_ac	iso_id	uniprot_seq_length	uniprot_seq_md5	coordinate_id	provider	from	to	template	qmeandisco_global	seqid	url	in_uniprot	model_length
P04275	P04275-1	2813	4f26adb6e954c8e065f64b10ac553f34	62f2dbe04a4f7f56391ce92e	SWISSMODEL	31	1459	8d3d.1.A	0.700036880629279	99.65706634521484	https://swissmodel.expasy.org/repository/uniprot/P04275.pdb?provider=swissmodel&from=31&to=1459&template=8d3d.1.A	True	1429
Q14576	Q14576-1	367	a101d0f049fa98c43f6903676c4adff1	62ec2f1f8db010f0e29a9743	SWISSMODEL	37	205	4qqb.2.B	0.7000478149106867	47.3684196472168	https://swissmodel.expasy.org/repository/uniprot/Q14576.pdb?provider=swissmodel&from=37&to=205&template=4qqb.2.B	True	169
O00499	O00499-1	593	59934f99f8db4f56f5fd77c6e222d790	62ee2db32d7fc685b5f196e2	SWISSMODEL	40	271	2fic.1.A	0.7000541369612922	100.0	https://swissmodel.expasy.org/repository/uniprot/O00499.pdb?provider=swissmodel&from=40&to=271&template=2fic.1.A	True	232
A6NK89		507	01d42267a83598fa833181e0184d7aae	62ed9d3690e1c1efb768eb21	SWISSMODEL	383	441	6l5j.1.B	0.7001022738425906	23.72881317138672	https://swissmodel.expasy.org/repository/uniprot/A6NK89.pdb?provider=swissmodel&from=383&to=441&template=6l5j.1.B	True	59
O14576	O14576-1	645	adc80a1bc92277d80dd3cd9c99b49627	62ee77b54d1c31d7f428fa7f	SWISSMODEL	216	628	7z8f.1.9	0.700105148404076	77.84809875488281	https://swissmodel.expasy.org/repository/uniprot/O14576.pdb?provider=swissmodel&from=216&to=628&template=7z8f.1.9	True	413
O00217		210	0ea8c1fa83206c5240dbec4238322811	62ed3cbd5cb085912bf9833c	SWISSMODEL	35	210	6zk9.1.G	0.7001261840629671	93.8095245361328	https://swissmodel.expasy.org/repository/uniprot/O00217.pdb?provider=swissmodel&from=35&to=210&template=6zk9.1.G	True	176
Q00613	Q00613-1	529	44827bc916ef5b0816c839f5f1aee729	633d99a4e4cf772ccac805f3	SWISSMODEL	15	117	6j6v.1.B	0.7001322692692769	77.14286041259766	https://swissmodel.expasy.org/repository/uniprot/Q00613.pdb?provider=swissmodel&from=15&to=117&template=6j6v.1.B	True	103
Q92526	Q92526-1	530	4076e9b751fcb1a511375b0358b0c429	62edcd8a9bee9b60646bfd2d	SWISSMODEL	4	525	3ruq.1.M	0.700134284141539	34.496124267578125	https://swissmodel.expasy.org/repository/uniprot/Q92526.pdb?provider=swissmodel&from=4&to=525&template=3ruq.1.M	True	522
Q9BTA0		163	0f6aa03ca87a9d213084a2386cc6e7f6	62edfaac6d034617b896b9cd	SWISSMODEL	76	132	6vzf.1.B	0.7001490123809451	16.363636016845703	https://swissmodel.expasy.org/repository/uniprot/Q9BTA0.pdb?provider=swissmodel&from=76&to=132&template=6vzf.1.B	True	57
Q7Z3E2		898	3401e63a4d3da20a724cde157fada2f3	62ef8b823f16fb5d9d4ea245	SWISSMODEL	247	349	6yvu.1.A	0.7001509722237859	17.47572898864746	https://swissmodel.expasy.org/repository/uniprot/Q7Z3E2.pdb?provider=swissmodel&from=247&to=349&template=6yvu.1.A	True	103
Q9Y4F3	Q9Y4F3-1	1742	d6df12468d4fabe19b50ffad7ee95673	62f110d8a9a55ef1287683e7	SWISSMODEL	510	589	2diu.1.A	0.7001515546286796	100.0	https://swissmodel.expasy.org/repository/uniprot/Q9Y4F3.pdb?provider=swissmodel&from=510&to=589&template=2diu.1.A	True	80
P52732		1056	4ab6e18b288f8eac32adff73b55d3254	62f005894ef5fcb266dc3b92	SWISSMODEL	421	557	7ju4.1.J	0.700158165880947	20.769229888916016	https://swissmodel.expasy.org/repository/uniprot/P52732.pdb?provider=swissmodel&from=421&to=557&template=7ju4.1.J	True	137
P43243	P43243-1	847	2421fd0e970d2164029a89de9b0f8117	6348179464924306c36986a0	SWISSMODEL	393	478	7fbr.1.A	0.7001691159685285	98.83721160888672	https://swissmodel.expasy.org/repository/uniprot/P43243.pdb?provider=swissmodel&from=393&to=478&template=7fbr.1.A	True	86
